Place of Publication,Year of Publication,Author,URL
Tours,1874,"CHEVALIER, Casimir.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000067701
London,1833,"BOARDMAN, James - of Liverpool",http://www.flickr.com/photos/britishlibrary/tags/sysnum000068917
London,1863,"HODGINS, John George.|MURRAY, William - Rev|PERLEY, Moses H.|ROBB, Charles.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069151
New York,1835,"SLIDELL, afterwards SLIDELL MACKENZIE, Alexander.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069299
London,1838,"SANDERSON, John - of Philadelphia",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069302
Philadelphia,1830,"BIDDLE, Richard.|HALL, Basil - R.N",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069314
Boston,1838,"WRIGHT, Hezekiah Hartley.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069331
Edinburgh,1823,"BRUEN, Matthias.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069339
New-York,1824,"DWIGHT, Theodore - the Younger",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069359
Boston,1830,"PICKERING, Henry - Son of Timothy Pickering",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069387
Baltimore,1818,"SLOAN, James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069390
New York,1833,"DE KAY, James Ellsworth.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069401
Edinburgh,1865,"CAMPBELL, John Francis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069813
London,1828,"SEALSFIELD, Charles.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000069864
J. Vincent; London,[1894],"CRUSO, Henry Alfred Anthony.|O., Y. T.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070023
London,1720,"BLUNT, John - Sir, Bart",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070719
London,1878,"TILTON, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070845
New York,1886,"TILTON, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070846
London,[1879],"TILTON, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070870
London,1880,"TILTON, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070881
London,1883,"SALTIRE, Maurice.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070882
New York,[1898],"BROWN, Jacob B.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000070912
Palermo,"1855, 56","FERRARA, Francesco - Abate|MARZO, Gioacchino di.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000071005
Santiago,1853,"O'HIGGINS, Bernardo - Dictator of the Republic of Chile",http://www.flickr.com/photos/britishlibrary/tags/sysnum000074411
London,1894,"HAGGARD, Edward Arthur.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000074635
London,1747,"MALLET, David.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000074645
London,1748,"MALLET, David.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000074647
Edinburgh],1704,FORBES - of Disblair,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074744
Chelmsford,1887,"BARLAS, John Evelyn.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000075468
London,[1762?],"RAVENSCROFT, Edward - Dramatist",http://www.flickr.com/photos/britishlibrary/tags/sysnum000075692
London,1694 [1693],"DAWES, William - Sir, Bart., successively Bishop of Chester and Archbishop of York",http://www.flickr.com/photos/britishlibrary/tags/sysnum000075704
Barcelona,1889,"SOSA, Francisco - of Mexico",http://www.flickr.com/photos/britishlibrary/tags/sysnum000076338
London,1839,"DENNIS, George - Writer on Mediterranean Antiquities",http://www.flickr.com/photos/britishlibrary/tags/sysnum000076454
London,1888,"ASHE, E.|TROUBRIDGE, Laura Elizabeth Rachel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000077405
London,1846,"BECKWITH-LOHMEYER, Charles.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000077482
London,1851,"BECKWITH-LOHMEYER, Charles.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000077495
London,1848,"BECKWITH-LOHMEYER, Charles.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000077554
London,1891,"WALL, Alfred Henry.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000078142
Glasgow,1859,"FINLAY, John - of Glasgow?",http://www.flickr.com/photos/britishlibrary/tags/sysnum000078735
Inverness,[1890],"Anderson, Peter",http://www.flickr.com/photos/britishlibrary/tags/sysnum000078740
London,1876,"BROWNE, Horace Albert.|SLADEN, Edward Bosc.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000079249
Jedburgh,1899,"ARMOUR, George Denholm.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000080465
London,1875,"LLOYD, Llewellyn - Sportsman",http://www.flickr.com/photos/britishlibrary/tags/sysnum000080911
Westminster,1895,"HAREWOOD, Fred.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000081414
Andover,[1885?],"CLUTTERBUCK, Robert Hawley.|COLLIER, Charles - F.S.A",http://www.flickr.com/photos/britishlibrary/tags/sysnum000081458
Lewes,1883,"RICE, Robert Garraway.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000082105
New York,1867,"WILSON, James Harrison.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000084631
Deventer,1880 [76-80],"HOFDIJK, Willem Jacobs.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000085672
Providence,1899,"FIELD, Edward - of Providence RI",http://www.flickr.com/photos/britishlibrary/tags/sysnum000087222
Paris,1861,"PORT, Célestin.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000087934
Paris,[1898],"FIRMIN-DIDOT, Georges.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000088350
London,1825,"SOANE, George.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000089469
Frankfurt,1887,"FISCHER, Friedrich Theobald.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000089796
Edinburgh & London,1891 [1890],"JORDAN, Denham.|OWEN, afterwards VISGER, Jean Allan.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000090416
London,1870,"DASENT, George Webbe - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000090417
London,1874,"BLAIR, Andrew - M.D., of Tayport",http://www.flickr.com/photos/britishlibrary/tags/sysnum000090432
London,1899,"Field, Michael.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000090671
London,1809,"SALT, Henry.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000091083
London,1877,"TABOR, afterwards STEPHENSON, Eliza.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000091204
Roma,1853,"ANNOVAZZI, Biagio.|ANNOVAZZI, Domenico.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000091396
Pescia,1879,"BERTACCHI, Angiolo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000092162
London?],1760,"MALLET, David.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000092702
London,1862,"NAFTEL, Paul Jacob.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000093013
London,1865,"LATHAM, Robert Gordon.|NAFTEL, Paul Jacob.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000093014
London,1830,"Britton, John|WILLIAMS, Samuel - Wood Engraver",http://www.flickr.com/photos/britishlibrary/tags/sysnum000093061
London,1897,"PARTRIDGE, J. Bernard - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000093082
London & New York,1898 [1897],"PARTRIDGE, J. Bernard - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000093124
London,1810,"Miranda, Francisco de|MIRANDA, Francisco de - Jesuit",http://www.flickr.com/photos/britishlibrary/tags/sysnum000093565
Exeter,1805,"ROLLESTON, Matthew.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000094393
London,1887,"BARRY, William Francis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000094484
London,1844,FLANNIGAN - Mrs,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094545
London,1827,"THOMSON, Richard - Librarian of the London Institution",http://www.flickr.com/photos/britishlibrary/tags/sysnum000094892
London,1813,"GOMPERTZ, Isaac.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000094906
Berlin,1889,"GILDEMEISTER, Johann.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000095781
